id,label,pred_label
0106,dirty,cleaned
0107,dirty,dirty
0108,dirty,cleaned
0109,dirty,dirty
0110,dirty,dirty
0111,dirty,dirty
0112,dirty,dirty
0113,dirty,cleaned
0114,dirty,cleaned
0115,dirty,dirty
0116,dirty,dirty
0117,dirty,cleaned
0118,dirty,dirty
0119,dirty,cleaned
0120,dirty,cleaned
0121,dirty,dirty
0122,dirty,dirty
0123,dirty,dirty
0124,dirty,dirty
0125,dirty,dirty
0126,dirty,dirty
0127,dirty,dirty
0128,dirty,dirty
0129,dirty,dirty
0130,dirty,dirty
0131,dirty,dirty
0132,dirty,dirty
0133,dirty,dirty
0134,dirty,dirty
0135,dirty,dirty
0136,dirty,dirty
0137,dirty,dirty
0138,dirty,dirty
0139,dirty,dirty
0140,dirty,dirty
0141,dirty,dirty
0142,dirty,cleaned
0143,dirty,dirty
0144,dirty,dirty
0145,dirty,dirty
0146,dirty,dirty
0147,dirty,dirty
0148,dirty,dirty
0149,dirty,dirty
0150,dirty,dirty
0151,dirty,cleaned
0152,dirty,dirty
0153,dirty,dirty
0154,dirty,dirty
0155,dirty,dirty
0156,dirty,cleaned
0157,dirty,cleaned
0158,dirty,dirty
0159,dirty,cleaned
0160,dirty,dirty
0161,dirty,cleaned
0162,dirty,dirty
0163,dirty,dirty
0164,dirty,dirty
0165,dirty,dirty
0166,dirty,dirty
0167,dirty,dirty
0168,dirty,dirty
0169,dirty,dirty
0170,dirty,dirty
0171,dirty,dirty
0172,dirty,dirty
0173,dirty,dirty
0174,dirty,dirty
0175,dirty,dirty
0176,dirty,dirty
0177,dirty,dirty
0178,dirty,cleaned
0179,dirty,dirty
0180,dirty,dirty
0181,dirty,dirty
0182,dirty,dirty
0183,dirty,dirty
0184,dirty,dirty
0185,dirty,dirty
0186,dirty,dirty
0187,dirty,dirty
0188,dirty,dirty
0189,dirty,dirty
0190,dirty,dirty
0191,dirty,cleaned
0192,dirty,cleaned
0193,dirty,dirty
0194,dirty,cleaned
0195,dirty,dirty
0196,dirty,dirty
0197,dirty,dirty
0198,dirty,dirty
0199,dirty,dirty
0200,dirty,cleaned
0201,dirty,cleaned
0202,dirty,cleaned
0203,dirty,dirty
0204,dirty,dirty
0205,dirty,dirty
0206,dirty,dirty
0207,dirty,cleaned
0208,dirty,dirty
0209,dirty,cleaned
0210,dirty,dirty
0211,dirty,dirty
0212,dirty,dirty
0213,dirty,dirty
0214,dirty,dirty
0215,dirty,dirty
0216,dirty,cleaned
0217,dirty,dirty
0218,dirty,cleaned
0219,dirty,cleaned
0220,dirty,dirty
0221,dirty,dirty
0222,dirty,dirty
0223,dirty,dirty
0224,dirty,dirty
0225,dirty,dirty
0226,dirty,dirty
0227,dirty,dirty
0228,dirty,cleaned
0229,dirty,dirty
0230,dirty,dirty
0231,dirty,dirty
0232,dirty,dirty
0233,dirty,dirty
0234,dirty,dirty
0235,dirty,cleaned
0236,dirty,dirty
0237,dirty,dirty
0238,dirty,dirty
0239,dirty,cleaned
0240,dirty,dirty
0241,dirty,dirty
0242,dirty,dirty
0243,dirty,cleaned
0244,dirty,dirty
0245,dirty,dirty
0246,dirty,dirty
0247,dirty,dirty
0248,dirty,cleaned
0249,dirty,dirty
0250,dirty,dirty
0251,dirty,dirty
0252,dirty,cleaned
0253,dirty,dirty
0254,dirty,dirty
0255,dirty,dirty
0256,dirty,dirty
0257,dirty,dirty
0258,dirty,dirty
0259,dirty,dirty
0260,dirty,dirty
0261,dirty,dirty
0262,dirty,dirty
0263,dirty,dirty
0264,dirty,dirty
0265,dirty,cleaned
0266,dirty,dirty
0267,dirty,dirty
0268,dirty,cleaned
0269,dirty,dirty
0270,dirty,dirty
0271,dirty,dirty
0272,dirty,dirty
0273,dirty,dirty
0274,dirty,cleaned
0275,dirty,dirty
0276,dirty,dirty
0277,dirty,dirty
0278,dirty,dirty
0279,dirty,dirty
0280,dirty,dirty
0281,dirty,dirty
0282,dirty,dirty
0283,dirty,cleaned
0284,dirty,dirty
0285,dirty,dirty
0286,dirty,dirty
0287,dirty,dirty
0288,dirty,cleaned
0289,dirty,dirty
0290,dirty,dirty
0291,dirty,dirty
0292,dirty,dirty
0293,dirty,dirty
0294,dirty,cleaned
0295,dirty,dirty
0296,dirty,cleaned
0297,dirty,cleaned
0298,dirty,cleaned
0299,dirty,dirty
0300,dirty,dirty
0301,dirty,dirty
0302,dirty,dirty
0303,dirty,dirty
0304,dirty,dirty
0305,dirty,dirty
0306,dirty,dirty
0307,dirty,cleaned
0308,dirty,dirty
0309,dirty,dirty
0310,dirty,dirty
0311,dirty,cleaned
0312,dirty,dirty
0313,dirty,dirty
0314,dirty,cleaned
0315,dirty,dirty
0316,dirty,dirty
0317,dirty,dirty
0318,dirty,cleaned
0319,dirty,dirty
0320,dirty,dirty
0321,dirty,cleaned
0322,dirty,dirty
0323,dirty,dirty
0324,dirty,dirty
0325,dirty,dirty
0326,dirty,dirty
0327,dirty,cleaned
0328,dirty,dirty
0329,dirty,cleaned
0330,dirty,dirty
0331,dirty,dirty
0332,dirty,dirty
0333,dirty,dirty
0334,dirty,dirty
0335,dirty,cleaned
0336,dirty,dirty
0337,dirty,cleaned
0338,dirty,cleaned
0339,dirty,dirty
0340,dirty,cleaned
0341,dirty,dirty
0342,dirty,dirty
0343,dirty,cleaned
0344,dirty,dirty
0345,dirty,cleaned
0346,dirty,cleaned
0347,dirty,dirty
0348,dirty,dirty
0349,dirty,cleaned
0350,dirty,dirty
0351,dirty,dirty
0352,dirty,dirty
0353,dirty,dirty
0354,dirty,dirty
0355,dirty,dirty
0356,dirty,cleaned
0357,dirty,dirty
0358,dirty,dirty
0359,dirty,cleaned
0360,dirty,dirty
0361,dirty,dirty
0362,dirty,dirty
0363,dirty,dirty
0364,dirty,cleaned
0365,dirty,dirty
0366,dirty,dirty
0367,dirty,dirty
0368,dirty,dirty
0369,dirty,dirty
0370,dirty,cleaned
0371,dirty,dirty
0372,dirty,dirty
0373,dirty,dirty
0374,dirty,dirty
0375,dirty,dirty
0376,dirty,dirty
0377,dirty,dirty
0378,dirty,dirty
0379,dirty,dirty
0380,dirty,cleaned
0381,dirty,dirty
0382,dirty,dirty
0383,dirty,dirty
0384,dirty,cleaned
0385,dirty,dirty
0386,dirty,dirty
0387,dirty,cleaned
0388,dirty,dirty
0389,dirty,dirty
0390,dirty,dirty
0391,dirty,dirty
0392,dirty,dirty
0393,dirty,dirty
0394,dirty,dirty
0395,dirty,dirty
0396,dirty,dirty
0397,dirty,dirty
0398,dirty,dirty
0399,dirty,dirty
0400,dirty,cleaned
0401,dirty,dirty
0402,dirty,dirty
0403,dirty,dirty
0404,dirty,dirty
0405,dirty,dirty
0406,dirty,cleaned
0407,dirty,dirty
0408,dirty,cleaned
0409,dirty,dirty
0410,dirty,dirty
0411,dirty,dirty
0412,dirty,cleaned
0413,dirty,dirty
0414,dirty,cleaned
0415,dirty,dirty
0416,dirty,dirty
0417,dirty,dirty
0418,dirty,dirty
0419,dirty,dirty
0420,dirty,cleaned
0421,dirty,cleaned
0422,dirty,dirty
0423,dirty,dirty
0424,dirty,dirty
0425,dirty,dirty
0426,dirty,dirty
0427,dirty,dirty
0428,dirty,cleaned
0429,dirty,dirty
0430,dirty,cleaned
0431,dirty,dirty
0432,dirty,dirty
0433,dirty,dirty
0434,dirty,cleaned
0435,dirty,dirty
0436,dirty,dirty
0437,dirty,dirty
0438,dirty,dirty
0439,dirty,dirty
0440,dirty,dirty
0441,dirty,dirty
0442,dirty,dirty
0443,dirty,cleaned
0444,dirty,dirty
0445,dirty,dirty
0446,dirty,dirty
0447,dirty,cleaned
0448,dirty,dirty
0449,dirty,dirty
0450,dirty,dirty
0451,dirty,dirty
0452,dirty,cleaned
0453,dirty,dirty
0454,dirty,dirty
0455,dirty,dirty
0456,dirty,dirty
0457,dirty,dirty
0458,dirty,dirty
0459,dirty,dirty
0460,dirty,dirty
0461,dirty,dirty
0462,dirty,dirty
0463,dirty,dirty
0464,dirty,dirty
0465,dirty,cleaned
0466,dirty,cleaned
0467,dirty,dirty
0468,dirty,cleaned
0469,dirty,dirty
0470,dirty,dirty
0471,dirty,dirty
0472,dirty,dirty
0473,dirty,dirty
0474,dirty,dirty
0475,dirty,dirty
0476,dirty,cleaned
0477,dirty,dirty
0478,dirty,dirty
0479,dirty,dirty
0480,dirty,dirty
0481,dirty,dirty
0482,dirty,dirty
0483,dirty,dirty
0484,dirty,cleaned
0485,dirty,dirty
0486,dirty,dirty
0487,dirty,cleaned
0488,dirty,cleaned
0489,dirty,dirty
0490,dirty,dirty
0491,dirty,dirty
0492,dirty,dirty
0493,dirty,cleaned
0494,dirty,dirty
0495,dirty,cleaned
0496,dirty,dirty
0497,dirty,dirty
0498,dirty,dirty
0499,dirty,dirty
0500,dirty,dirty
0501,dirty,dirty
0502,dirty,dirty
0503,dirty,dirty
0504,dirty,cleaned
0505,dirty,dirty
0506,dirty,dirty
0507,dirty,dirty
0508,dirty,dirty
0509,dirty,dirty
0510,dirty,dirty
0511,dirty,dirty
0512,dirty,dirty
0513,dirty,dirty
0514,dirty,dirty
0515,dirty,dirty
0516,dirty,dirty
0517,dirty,dirty
0518,dirty,dirty
0519,dirty,dirty
0520,dirty,dirty
0521,dirty,dirty
0522,dirty,dirty
0523,dirty,dirty
0524,dirty,dirty
0525,dirty,dirty
0526,dirty,dirty
0527,dirty,dirty
0528,dirty,cleaned
0529,dirty,dirty
0530,dirty,cleaned
0531,dirty,cleaned
0532,dirty,dirty
0533,dirty,dirty
0534,dirty,dirty
0535,dirty,cleaned
0536,dirty,cleaned
0537,dirty,dirty
0538,dirty,dirty
0539,dirty,cleaned
0540,dirty,cleaned
0541,dirty,dirty
0542,dirty,dirty
0543,dirty,dirty
0544,dirty,dirty
0545,dirty,cleaned
0546,dirty,dirty
0547,dirty,dirty
0548,dirty,dirty
0549,dirty,dirty
0550,dirty,dirty
0551,dirty,dirty
0552,dirty,dirty
0553,dirty,cleaned
0554,dirty,dirty
0555,dirty,dirty
0556,dirty,dirty
0557,dirty,dirty
0558,dirty,dirty
0559,dirty,dirty
0560,dirty,dirty
0561,dirty,dirty
0562,dirty,cleaned
0563,dirty,dirty
0564,dirty,dirty
0565,dirty,cleaned
0566,dirty,dirty
0567,dirty,dirty
0568,dirty,dirty
0569,dirty,dirty
0570,dirty,dirty
0571,dirty,dirty
0572,dirty,dirty
0573,dirty,dirty
0574,dirty,dirty
0575,dirty,dirty
0576,dirty,dirty
0577,dirty,dirty
0578,dirty,dirty
0579,dirty,cleaned
0580,dirty,dirty
0581,dirty,dirty
0582,dirty,dirty
0583,dirty,dirty
0584,dirty,dirty
0585,dirty,dirty
0586,dirty,cleaned
0587,dirty,cleaned
0588,dirty,dirty
0589,dirty,dirty
0590,dirty,cleaned
0591,dirty,dirty
0592,dirty,cleaned
0593,dirty,dirty
0594,dirty,dirty
0595,dirty,dirty
0596,dirty,dirty
0597,dirty,cleaned
0598,dirty,dirty
0599,dirty,dirty
0600,dirty,dirty
0601,dirty,dirty
0602,dirty,dirty
0603,dirty,dirty
0604,dirty,dirty
0605,dirty,dirty
0606,dirty,dirty
0607,dirty,dirty
0608,dirty,dirty
0609,dirty,dirty
0610,dirty,dirty
0611,dirty,dirty
0612,dirty,dirty
0613,dirty,cleaned
0614,dirty,dirty
0615,dirty,dirty
0616,dirty,dirty
0617,dirty,dirty
0618,dirty,dirty
0619,dirty,dirty
0620,dirty,dirty
0621,dirty,dirty
0622,dirty,dirty
0623,dirty,cleaned
0624,dirty,dirty
0625,dirty,dirty
0626,dirty,cleaned
0627,dirty,dirty
0628,dirty,cleaned
0629,dirty,dirty
0630,dirty,cleaned
0631,dirty,cleaned
0632,dirty,dirty
0633,dirty,cleaned
0634,dirty,dirty
0635,dirty,dirty
0636,dirty,dirty
0637,dirty,dirty
0638,dirty,dirty
0639,dirty,dirty
0640,dirty,dirty
0641,dirty,dirty
0642,dirty,dirty
0643,dirty,dirty
0644,dirty,dirty
0645,dirty,dirty
0646,dirty,dirty
0647,dirty,dirty
0648,dirty,dirty
0649,dirty,dirty
0650,dirty,dirty
0651,dirty,dirty
0652,dirty,cleaned
0653,dirty,dirty
0654,dirty,dirty
0655,dirty,dirty
0656,dirty,dirty
0657,dirty,dirty
0658,dirty,dirty
0659,dirty,dirty
0660,dirty,cleaned
0661,dirty,dirty
0662,dirty,dirty
0663,dirty,dirty
0664,dirty,cleaned
0665,dirty,dirty
0666,dirty,dirty
0667,dirty,dirty
0668,dirty,cleaned
0669,dirty,dirty
0670,dirty,dirty
0671,dirty,dirty
0672,dirty,dirty
0673,dirty,dirty
0674,dirty,dirty
0675,dirty,dirty
0676,dirty,dirty
0677,dirty,dirty
0678,dirty,dirty
0679,dirty,dirty
0680,dirty,dirty
0681,dirty,dirty
0682,dirty,dirty
0683,dirty,dirty
0684,dirty,dirty
0685,dirty,dirty
0686,dirty,dirty
0687,dirty,dirty
0688,dirty,cleaned
0689,dirty,dirty
0690,dirty,cleaned
0691,dirty,dirty
0692,dirty,dirty
0693,dirty,dirty
0694,dirty,dirty
0695,dirty,dirty
0696,dirty,dirty
0697,dirty,dirty
0698,dirty,dirty
0699,dirty,dirty
0700,dirty,cleaned
0701,dirty,dirty
0702,dirty,dirty
0703,dirty,dirty
0704,dirty,dirty
0705,dirty,cleaned
0706,dirty,cleaned
0707,dirty,dirty
0708,dirty,cleaned
0709,dirty,dirty
0710,dirty,dirty
0711,dirty,dirty
0712,dirty,dirty
0713,dirty,dirty
0714,dirty,dirty
0715,dirty,dirty
0716,dirty,dirty
0717,dirty,dirty
0718,dirty,dirty
0719,dirty,dirty
0720,dirty,dirty
0721,dirty,dirty
0722,dirty,dirty
0723,dirty,dirty
0724,dirty,dirty
0725,dirty,dirty
0726,dirty,dirty
0727,dirty,dirty
0728,dirty,cleaned
0729,dirty,dirty
0730,dirty,dirty
0731,dirty,dirty
0732,dirty,dirty
0733,dirty,dirty
0734,dirty,dirty
0735,dirty,cleaned
0736,dirty,dirty
0737,dirty,dirty
0738,dirty,dirty
0739,dirty,dirty
0740,dirty,dirty
0741,dirty,dirty
0742,dirty,dirty
0743,dirty,dirty
